Time,North,South,East,West
2023-07-30 08:00:00,48,40,58,41
2023-07-30 08:01:00,41,45,49,53
2023-07-30 08:02:00,44,38,51,40
2023-07-30 08:03:00,43,55,47,45
2023-07-30 08:04:00,44,57,41,41
2023-07-30 08:05:00,45,48,50,52
2023-07-30 08:06:00,49,41,54,47
2023-07-30 08:07:00,42,45,46,50
2023-07-30 08:08:00,45,37,43,41
2023-07-30 08:09:00,38,47,40,38
2023-07-30 08:10:00,48,49,44,48
2023-07-30 08:11:00,44,55,52,45
2023-07-30 08:12:00,50,41,47,47
2023-07-30 08:13:00,51,52,40,50
2023-07-30 08:14:00,43,46,48,57
2023-07-30 08:15:00,52,50,46,44
2023-07-30 08:16:00,43,47,46,48
2023-07-30 08:17:00,54,55,55,45
2023-07-30 08:18:00,50,55,49,49
2023-07-30 08:19:00,55,43,43,44
2023-07-30 08:20:00,44,40,41,51
2023-07-30 08:21:00,42,49,40,44
2023-07-30 08:22:00,48,50,50,49
2023-07-30 08:23:00,51,43,56,55
2023-07-30 08:24:00,48,43,50,58
2023-07-30 08:25:00,41,48,55,45
2023-07-30 08:26:00,51,50,43,49
2023-07-30 08:27:00,55,45,45,51
2023-07-30 08:28:00,54,51,41,48
2023-07-30 08:29:00,43,38,47,39
2023-07-30 08:30:00,49,45,44,54
2023-07-30 08:31:00,51,49,41,44
2023-07-30 08:32:00,53,44,43,48
2023-07-30 08:33:00,46,41,52,46
2023-07-30 08:34:00,47,54,50,51
2023-07-30 08:35:00,47,43,51,50
2023-07-30 08:36:00,42,40,48,40
2023-07-30 08:37:00,54,49,43,46
2023-07-30 08:38:00,46,47,47,46
2023-07-30 08:39:00,45,45,50,48
2023-07-30 08:40:00,48,56,45,46
2023-07-30 08:41:00,46,51,43,46
2023-07-30 08:42:00,39,50,42,54
2023-07-30 08:43:00,54,54,43,49
2023-07-30 08:44:00,44,52,46,40
2023-07-30 08:45:00,49,47,54,54
2023-07-30 08:46:00,45,46,43,51
2023-07-30 08:47:00,39,42,54,47
2023-07-30 08:48:00,41,55,49,49
2023-07-30 08:49:00,49,40,43,46
2023-07-30 08:50:00,40,49,41,41
2023-07-30 08:51:00,44,41,39,53
2023-07-30 08:52:00,41,49,41,56
2023-07-30 08:53:00,40,40,44,41
2023-07-30 08:54:00,44,41,44,55
2023-07-30 08:55:00,47,47,46,52
2023-07-30 08:56:00,49,40,40,38
2023-07-30 08:57:00,42,39,52,48
2023-07-30 08:58:00,41,48,54,55
2023-07-30 08:59:00,57,39,42,43
2023-07-30 09:00:00,51,44,42,46
2023-07-30 09:01:00,53,47,61,51
2023-07-30 09:02:00,43,44,41,40
2023-07-30 09:03:00,54,45,47,40
2023-07-30 09:04:00,42,43,57,49
2023-07-30 09:05:00,51,46,57,52
2023-07-30 09:06:00,49,54,48,41
2023-07-30 09:07:00,42,41,44,49
2023-07-30 09:08:00,51,40,40,50
2023-07-30 09:09:00,43,41,47,44
2023-07-30 09:10:00,49,48,39,43
2023-07-30 09:11:00,36,57,58,56
2023-07-30 09:12:00,45,50,48,44
2023-07-30 09:13:00,45,43,46,51
2023-07-30 09:14:00,53,43,56,43
2023-07-30 09:15:00,53,49,43,46
2023-07-30 09:16:00,46,56,49,44
2023-07-30 09:17:00,40,45,46,40
2023-07-30 09:18:00,46,48,44,41
2023-07-30 09:19:00,50,44,54,38
2023-07-30 09:20:00,45,48,42,43
2023-07-30 09:21:00,58,41,50,44
2023-07-30 09:22:00,46,53,45,40
2023-07-30 09:23:00,46,40,56,45
2023-07-30 09:24:00,44,53,42,49
2023-07-30 09:25:00,52,50,52,56
2023-07-30 09:26:00,47,41,41,47
2023-07-30 09:27:00,56,52,44,43
2023-07-30 09:28:00,42,49,40,50
2023-07-30 09:29:00,52,41,41,53
2023-07-30 09:30:00,50,45,47,54
2023-07-30 09:31:00,50,47,50,51
2023-07-30 09:32:00,47,41,47,41
2023-07-30 09:33:00,41,40,50,45
2023-07-30 09:34:00,41,41,48,50
2023-07-30 09:35:00,44,53,44,59
2023-07-30 09:36:00,39,49,49,44
2023-07-30 09:37:00,50,42,55,49
2023-07-30 09:38:00,41,45,53,49
2023-07-30 09:39:00,45,52,48,39
2023-07-30 09:40:00,54,46,52,40
2023-07-30 09:41:00,39,58,49,45
2023-07-30 09:42:00,51,43,42,59
2023-07-30 09:43:00,49,39,46,58
2023-07-30 09:44:00,44,51,45,48
2023-07-30 09:45:00,49,52,46,41
2023-07-30 09:46:00,54,45,41,50
2023-07-30 09:47:00,60,36,48,42
2023-07-30 09:48:00,50,39,42,43
2023-07-30 09:49:00,62,43,47,50
2023-07-30 09:50:00,46,44,44,42
2023-07-30 09:51:00,53,52,41,46
2023-07-30 09:52:00,47,47,39,56
2023-07-30 09:53:00,44,41,37,55
2023-07-30 09:54:00,50,46,48,49
2023-07-30 09:55:00,44,40,46,48
2023-07-30 09:56:00,39,48,43,44
2023-07-30 09:57:00,43,48,42,49
2023-07-30 09:58:00,52,56,62,46
2023-07-30 09:59:00,53,50,48,42
2023-07-30 10:00:00,52,50,53,47
