Time,North,South,East,West
2023-07-30 08:00:00,47,38,50,43
2023-07-30 08:01:00,46,43,36,42
2023-07-30 08:02:00,41,52,41,51
2023-07-30 08:03:00,44,57,45,48
2023-07-30 08:04:00,38,49,42,46
2023-07-30 08:05:00,40,48,49,43
2023-07-30 08:06:00,44,57,36,43
2023-07-30 08:07:00,48,46,53,42
2023-07-30 08:08:00,56,45,40,51
2023-07-30 08:09:00,40,53,41,45
2023-07-30 08:10:00,49,48,43,50
2023-07-30 08:11:00,52,43,46,53
2023-07-30 08:12:00,54,40,47,50
2023-07-30 08:13:00,59,48,51,45
2023-07-30 08:14:00,58,55,43,54
2023-07-30 08:15:00,42,48,44,39
2023-07-30 08:16:00,49,48,57,60
2023-07-30 08:17:00,46,48,47,47
2023-07-30 08:18:00,50,50,38,41
2023-07-30 08:19:00,50,49,42,60
2023-07-30 08:20:00,37,45,54,46
2023-07-30 08:21:00,46,47,47,42
2023-07-30 08:22:00,46,50,50,50
2023-07-30 08:23:00,48,40,55,42
2023-07-30 08:24:00,42,44,55,45
2023-07-30 08:25:00,42,47,45,43
2023-07-30 08:26:00,47,45,51,50
2023-07-30 08:27:00,63,51,44,44
2023-07-30 08:28:00,44,46,51,45
2023-07-30 08:29:00,50,41,41,53
2023-07-30 08:30:00,45,54,58,40
2023-07-30 08:31:00,54,54,41,42
2023-07-30 08:32:00,43,47,43,56
2023-07-30 08:33:00,46,46,56,43
2023-07-30 08:34:00,54,48,39,48
2023-07-30 08:35:00,42,55,51,54
2023-07-30 08:36:00,41,39,40,49
2023-07-30 08:37:00,40,45,45,46
2023-07-30 08:38:00,49,57,50,51
2023-07-30 08:39:00,49,53,43,45
2023-07-30 08:40:00,48,47,46,48
2023-07-30 08:41:00,44,40,54,48
2023-07-30 08:42:00,40,41,51,43
2023-07-30 08:43:00,51,46,52,46
2023-07-30 08:44:00,52,44,54,47
2023-07-30 08:45:00,41,56,39,53
2023-07-30 08:46:00,53,48,48,53
2023-07-30 08:47:00,47,39,46,44
2023-07-30 08:48:00,55,41,42,51
2023-07-30 08:49:00,53,42,48,45
2023-07-30 08:50:00,38,48,44,51
2023-07-30 08:51:00,50,51,42,51
2023-07-30 08:52:00,55,37,42,59
2023-07-30 08:53:00,42,42,37,48
2023-07-30 08:54:00,40,52,42,46
2023-07-30 08:55:00,47,42,50,44
2023-07-30 08:56:00,47,45,55,49
2023-07-30 08:57:00,47,56,49,51
2023-07-30 08:58:00,40,58,44,53
2023-07-30 08:59:00,58,51,53,43
2023-07-30 09:00:00,53,51,50,53
2023-07-30 09:01:00,47,44,47,61
2023-07-30 09:02:00,45,51,51,44
2023-07-30 09:03:00,44,48,41,49
2023-07-30 09:04:00,48,52,56,42
2023-07-30 09:05:00,48,43,65,48
2023-07-30 09:06:00,42,44,55,57
2023-07-30 09:07:00,53,47,45,48
2023-07-30 09:08:00,46,49,57,58
2023-07-30 09:09:00,46,54,43,47
2023-07-30 09:10:00,46,55,62,40
2023-07-30 09:11:00,50,50,39,56
2023-07-30 09:12:00,44,47,40,58
2023-07-30 09:13:00,38,52,44,41
2023-07-30 09:14:00,55,49,47,40
2023-07-30 09:15:00,43,50,50,55
2023-07-30 09:16:00,56,52,46,55
2023-07-30 09:17:00,41,46,42,42
2023-07-30 09:18:00,42,48,49,49
2023-07-30 09:19:00,54,49,47,46
2023-07-30 09:20:00,42,49,44,43
2023-07-30 09:21:00,49,48,49,52
2023-07-30 09:22:00,44,47,51,52
2023-07-30 09:23:00,57,40,46,41
2023-07-30 09:24:00,41,44,46,56
2023-07-30 09:25:00,41,61,48,40
2023-07-30 09:26:00,39,42,44,42
2023-07-30 09:27:00,48,49,39,44
2023-07-30 09:28:00,46,45,47,54
2023-07-30 09:29:00,37,42,41,52
2023-07-30 09:30:00,55,43,42,42
2023-07-30 09:31:00,47,56,48,53
2023-07-30 09:32:00,51,44,44,47
2023-07-30 09:33:00,42,45,47,50
2023-07-30 09:34:00,46,46,42,43
2023-07-30 09:35:00,38,58,50,40
2023-07-30 09:36:00,59,53,56,51
2023-07-30 09:37:00,41,50,42,52
2023-07-30 09:38:00,47,58,50,45
2023-07-30 09:39:00,45,53,45,45
2023-07-30 09:40:00,52,41,44,53
2023-07-30 09:41:00,52,38,39,40
2023-07-30 09:42:00,52,40,46,42
2023-07-30 09:43:00,49,48,47,51
2023-07-30 09:44:00,46,40,49,54
2023-07-30 09:45:00,46,50,50,45
2023-07-30 09:46:00,48,47,51,57
2023-07-30 09:47:00,56,55,59,48
2023-07-30 09:48:00,50,53,43,40
2023-07-30 09:49:00,43,49,40,53
2023-07-30 09:50:00,54,52,44,52
2023-07-30 09:51:00,40,45,43,44
2023-07-30 09:52:00,53,52,46,58
2023-07-30 09:53:00,47,40,51,50
2023-07-30 09:54:00,45,37,47,45
2023-07-30 09:55:00,56,49,41,49
2023-07-30 09:56:00,41,49,44,48
2023-07-30 09:57:00,50,46,43,49
2023-07-30 09:58:00,40,44,44,36
2023-07-30 09:59:00,47,56,50,47
2023-07-30 10:00:00,46,48,55,55
