Time,North,South,East,West
2023-07-30 08:00:00,51,44,41,38
2023-07-30 08:01:00,44,46,40,40
2023-07-30 08:02:00,42,39,35,37
2023-07-30 08:03:00,49,43,39,40
2023-07-30 08:04:00,45,47,41,40
2023-07-30 08:05:00,42,44,41,39
2023-07-30 08:06:00,46,44,39,41
2023-07-30 08:07:00,48,43,43,40
2023-07-30 08:08:00,44,39,40,42
2023-07-30 08:09:00,41,46,40,40
2023-07-30 08:10:00,45,44,42,42
2023-07-30 08:11:00,43,46,42,37
2023-07-30 08:12:00,45,45,38,35
2023-07-30 08:13:00,45,41,41,39
2023-07-30 08:14:00,51,43,44,49
2023-07-30 08:15:00,44,47,41,39
2023-07-30 08:16:00,47,39,40,38
2023-07-30 08:17:00,47,49,38,36
2023-07-30 08:18:00,43,41,37,38
2023-07-30 08:19:00,45,45,40,39
2023-07-30 08:20:00,46,45,40,48
2023-07-30 08:21:00,43,44,37,40
2023-07-30 08:22:00,47,45,38,35
2023-07-30 08:23:00,47,42,44,37
2023-07-30 08:24:00,47,46,36,39
2023-07-30 08:25:00,43,44,41,42
2023-07-30 08:26:00,40,42,40,39
2023-07-30 08:27:00,40,45,35,39
2023-07-30 08:28:00,48,41,40,39
2023-07-30 08:29:00,42,44,40,39
2023-07-30 08:30:00,42,45,39,45
2023-07-30 08:31:00,41,47,41,41
2023-07-30 08:32:00,42,42,40,43
2023-07-30 08:33:00,46,38,41,43
2023-07-30 08:34:00,42,48,39,41
2023-07-30 08:35:00,43,41,42,37
2023-07-30 08:36:00,41,41,39,41
2023-07-30 08:37:00,43,42,43,37
2023-07-30 08:38:00,46,41,39,38
2023-07-30 08:39:00,50,42,41,40
2023-07-30 08:40:00,46,43,41,45
2023-07-30 08:41:00,45,46,39,39
2023-07-30 08:42:00,50,40,39,40
2023-07-30 08:43:00,47,42,37,39
2023-07-30 08:44:00,42,35,39,39
2023-07-30 08:45:00,46,42,36,41
2023-07-30 08:46:00,46,43,41,38
2023-07-30 08:47:00,42,43,40,45
2023-07-30 08:48:00,46,41,37,42
2023-07-30 08:49:00,47,45,42,39
2023-07-30 08:50:00,44,47,40,41
2023-07-30 08:51:00,43,43,38,39
2023-07-30 08:52:00,44,46,38,39
2023-07-30 08:53:00,44,40,40,42
2023-07-30 08:54:00,50,41,42,38
2023-07-30 08:55:00,47,41,41,38
2023-07-30 08:56:00,47,45,37,40
2023-07-30 08:57:00,42,44,41,39
2023-07-30 08:58:00,43,49,40,40
2023-07-30 08:59:00,45,49,41,40
2023-07-30 09:00:00,48,38,40,37
2023-07-30 09:01:00,44,44,40,40
2023-07-30 09:02:00,38,41,42,39
2023-07-30 09:03:00,46,41,36,38
2023-07-30 09:04:00,45,45,41,43
2023-07-30 09:05:00,43,45,40,39
2023-07-30 09:06:00,39,41,41,38
2023-07-30 09:07:00,43,41,39,37
2023-07-30 09:08:00,43,47,40,41
2023-07-30 09:09:00,47,45,43,42
2023-07-30 09:10:00,46,37,37,40
2023-07-30 09:11:00,42,44,41,41
2023-07-30 09:12:00,51,42,36,40
2023-07-30 09:13:00,49,44,42,39
2023-07-30 09:14:00,48,43,36,39
2023-07-30 09:15:00,40,48,43,38
2023-07-30 09:16:00,43,43,41,42
2023-07-30 09:17:00,43,40,40,37
2023-07-30 09:18:00,43,48,41,38
2023-07-30 09:19:00,49,49,42,38
2023-07-30 09:20:00,43,48,42,41
2023-07-30 09:21:00,46,42,41,35
2023-07-30 09:22:00,42,41,36,41
2023-07-30 09:23:00,45,44,38,41
2023-07-30 09:24:00,45,46,37,41
2023-07-30 09:25:00,43,46,40,42
2023-07-30 09:26:00,46,44,36,44
2023-07-30 09:27:00,43,44,38,38
2023-07-30 09:28:00,47,42,40,41
2023-07-30 09:29:00,50,42,39,42
2023-07-30 09:30:00,44,45,39,42
2023-07-30 09:31:00,46,47,41,41
2023-07-30 09:32:00,48,45,38,39
2023-07-30 09:33:00,42,45,39,38
2023-07-30 09:34:00,44,46,41,38
2023-07-30 09:35:00,48,47,41,39
2023-07-30 09:36:00,44,50,41,39
2023-07-30 09:37:00,45,44,42,35
2023-07-30 09:38:00,43,48,37,40
2023-07-30 09:39:00,49,44,41,37
2023-07-30 09:40:00,44,39,41,39
2023-07-30 09:41:00,44,47,41,33
2023-07-30 09:42:00,46,47,41,45
2023-07-30 09:43:00,41,46,35,39
2023-07-30 09:44:00,44,44,44,41
2023-07-30 09:45:00,43,45,42,41
2023-07-30 09:46:00,48,47,40,41
2023-07-30 09:47:00,45,45,42,38
2023-07-30 09:48:00,48,47,36,35
2023-07-30 09:49:00,46,47,38,37
2023-07-30 09:50:00,45,45,39,40
2023-07-30 09:51:00,43,40,38,42
2023-07-30 09:52:00,47,44,34,40
2023-07-30 09:53:00,43,43,38,37
2023-07-30 09:54:00,46,45,38,39
2023-07-30 09:55:00,46,41,44,38
2023-07-30 09:56:00,48,43,38,40
2023-07-30 09:57:00,45,51,39,38
2023-07-30 09:58:00,45,41,41,40
2023-07-30 09:59:00,44,44,39,38
2023-07-30 10:00:00,46,45,39,39
